Artist 	 Album 	 Trackno 	 Title 	 ID3_artist 	 ID3_album 	 ID3_track 	 Artist_match 	 Album_match 	 track_match 
Stan Getz - Zoot Sims - Al Cohn - Alan Eager - Brew Moore	The Brothers	(6, None)	 Battleground	Stan Getz-Zoot Sims-Al Cohn- Alan Eager - Brew Moore	The Brothers	Battleground	False	True	True
Stan Getz - Zoot Sims - Al Cohn - Alan Eager - Brew Moore	The Brothers	(8, None)	 The Red Door	Stan Getz-Zoot Sims-Al Cohn- Alan Eager - Brew Moore	The Brothers	The Red Door	False	True	True
Artist 	 Album 	 Trackno 	 Title 	 ID3_artist 	 ID3_album 	 ID3_track 	 Artist_match 	 Album_match 	 track_match 
Stan Getz and Albert Dailey	Poetry	(6, 7)	Spring Can Really Hang You Up the Most	Stan Getz and Albert Dailey	Poetry	Spring Can Really Hang You Up the Most	True	True	True
Stan Getz and Albert Dailey	Poetry	(7, 7)	'Round Midnight	Stan Getz and Albert Dailey	Poetry	'Round Midnight	True	True	True
Stan Getz and Albert Dailey	Poetry	(2, 7)	A Child is Born	Stan Getz and Albert Dailey	Poetry	A Child is Born	True	True	True
Stan Getz and Albert Dailey	Poetry	(3, 7)	Tune Up	Stan Getz and Albert Dailey	Poetry	Tune Up	True	True	True
Stan Getz and Albert Dailey	Poetry	(1, 7)	Confirmation	Stan Getz and Albert Dailey	Poetry	Confirmation	True	True	True
Stan Getz and Albert Dailey	Poetry	(5, 7)	A Night in Tunisia	Stan Getz and Albert Dailey	Poetry	A Night in Tunisia	True	True	True
Stan Getz and Albert Dailey	Poetry	(4, 7)	Lover Man	Stan Getz and Albert Dailey	Poetry	Lover Man	True	True	True
Artist 	 Album 	 Trackno 	 Title 	 ID3_artist 	 ID3_album 	 ID3_track 	 Artist_match 	 Album_match 	 track_match 
Stan Tracey & Danny Moss	Just You, Just Me	(6, 11)	It's Easy To Remember	Stan Tracey & Danny Moss	Just You, Just Me	It's Easy To Remember	True	True	True
