Artist 	 Album
Louis Armstrong	The Hot Fives & Hot Sevens Vol. 3
Louis Armstrong	Volume Iv - Louis Armstrong And Earl Hines
Louis Armstrong	Wild Man Blues
Louis Armstrong & Oscar Peterson	Louis Armstrong Meets Oscar Peterson
Lucy Reed	The Singing Reed
Lynne Arriale	When You Listen
Mal Waldron	Blues For Lady Day
Mal Waldron	The Quest
Mark Murphy	Bop For Kerouac
Mark Murphy	Bop For Kerouac
Mark Murphy	Bop For Miles
Mark Murphy	California Cool. Blue Note West Coast Jazz Sampler
Mark Murphy & Sheila Jordan	Live In Edinburgh
Mark Ramsden _ Dave Cliff	Tribute To Paul Desmond
Martial Solal	Newport '63
Martin Speake	Charlie Parker
Martin Speake	Generations
Martin Speake & Colin Oxley	Two Not One
Martin Taylor	Change Of Heart
Martin Taylor	Spirit Of Django
Marty Paich	I Get A Boot Out Of You
Marty Paich	The Broadway Bit
Max Roach	It'S Time
Max Roach	Max Roach & Booker Little - Booker Little 4 & Max Roach (1958) [Eac-Flac]
Max Roach	Survivors
Max Roach Quintet	The Hard Bop Academy
Mccoy Tyner	Expansions
Mccoy Tyner	Mccoy Tyner Plays John Coltrane
Mccoy Tyner	Tender Moments
Mccoytyner	The Real Mccoy
Medly_ What'S New	More Jam Sessions_New York 72 Vol 2
Mel Lewis	Mel Lewis And Friends
Metronome All-Stars	Bebop Spoken Here_ Tempus Fugit
Michael Brecker	01 Michael Brecker
Michael Brecker	Now You See It... (Now You Don'T)
Michel Petrucciani & Tony Petrucciani	Conversation
Mike Carr Quartet & Trio	Good Times & The Blues
Miles Davis	'Round About Midnight
Miles Davis	1958  -  '58 Sessions
Miles Davis	Ascenseur Pour L'Echafaud
Miles Davis	At Last (With The Lighthouse All-Stars)
Miles Davis	Bag'S Groove
Miles Davis	Ballads & Blues (1950-1958)
Miles Davis	Blue Haze
Miles Davis	Blue Moods (With Charles Mingus)
Miles Davis	Colectors Items
Miles Davis	Conception (With Stan Getz) [160K]
Miles Davis	Cookin'
Miles Davis	Cookin' At The Plugged Nickel
Miles Davis	Dig (With Sonny Rollins)
Miles Davis	Down
Miles Davis	Dr. Jekyll (Cannonball Meets Davis)
Miles Davis	Dr. Jekyll (With Cannonball Adderley)
Miles Davis	Four
Miles Davis	Free Trade Hall, Manchester, England  (
Miles Davis	Green Dolphin Street, Amsterdam (9 Apr)
Miles Davis	In Paris Festival International De Jazz May 1949
Miles Davis	In Paris Festival International De Jazz-May, 1949
Miles Davis	In Person Saturday Night At The Blackhawk (Disc One)
Miles Davis	In Person Saturday Night At The Blackhawk (Disc Two)
Miles Davis	In Stockholm (With Sonny Stitt)
Miles Davis	Jazz At The Plaza
Miles Davis	Kind Of Blue
Miles Davis	Kind Of Blue (Remastered)
Miles Davis	Konserthuset, Stockholm
Miles Davis	Live (With John Coltrane)
Miles Davis	Live At Newport (With Thelonious Monk)
Miles Davis	Live In Stockholm (Complete) 1Of4
Miles Davis	Live In Stockholm (Complete) 2Of4
Miles Davis	Live In Stockholm (Complete) 3Of4
Miles Davis	Live In Stockholm (Complete) 4Of4
Miles Davis	Miles Ahead
Miles Davis	Miles Davis  -  1957-1968 Complete Columbia Studio Recs (With G1
Miles Davis	Miles Davis  -  1957-1968 Complete Columbia Studio Recs (With G2
Miles Davis	Miles Davis  -  1957-1968 Complete Columbia Studio Recs (With G3
Miles Davis	Miles Davis  -  1957-1968 Complete Columbia Studio Recs (With G4
Miles Davis	Miles Davis  -  1957-1968 Complete Columbia Studio Recs (With G5
Miles Davis	Miles Davis  -  1957-1968 Complete Columbia Studio Recs (With Gi
Miles Davis	Miles Davis And Horns
Miles Davis	Miles Davis At Carnegie Hall
Miles Davis	Miles Davis At Carnegie Hall - Vol2
Miles Davis	Miles Smiles
Miles Davis	Milestones
Miles Davis	Olympia, Paris
Miles Davis	On The Corner
Miles Davis	Plays Classic Ballads
Miles Davis	Porgy And Bess
Miles Davis	Quintet- Sextet
Miles Davis	Relaxin'
Miles Davis	Relaxin' With
Miles Davis	Someday My Prince Will Come
Miles Davis	Something Else (With Cannonball Adderle
Miles Davis	Steamin'
Miles Davis	The Complete Birth Of The Cool [128K]
Miles Davis	The Musings Of Miles
Miles Davis	Volume 2
Miles Davis	Walkin
Miles Davis	Walkin'
Miles Davis	Workin'
Miles Davis & Charlie Parker	Don'T Blame Me And Charlie Parker
Miles Davis & His Orchestra	Bebop Spoken Here_ Tempus Fugit
Miles Davis & The Metronome All-Stars	Birth Of The Cool, Vol. 2
Miles Davis All Stars	Bebop Spoken Here - Disc 2 (Confirmation)
Miles Davis And The Lighthouse All-Stars	At Last!
Miles Davis, George Coleman, Herbie Hancock, Ron Carter, Tony Williams	Complete Columbia Collection (No.20) - My Funny Valentine - Miles Davis In Concert (64.2.12)
Mina Agossi	Just Like A Lady
Miquel Casany	Wes Montgomery Revisited
Mostly Other People Do The Killing	Shamokin!!!
Nancy Wilson And Cannonball Adderley	Nancy Wilson And Cannonball Adderley
National Health	Of Queues And Cures
Nick Brignola	Live At Sweet Basil First Set
Nick Brignola	What It Takes
Nick Brignola And Howard Mcghee	Live At The Golden Fox 1975 (Bootleg)
Niels-Henning ØRsted Pedersen, Palle Mikkelborg	Hommage _ Once Upon A Time
Nigel Hitchcock	The Snakeranch Sessions
Nnenna Freelon	Live At The Iaje Conference 2000
Norma Winstone	Amoroso - Only More So - Cd1
Norma Winstone	Amoroso... Only More So  Cd 2
Norman Burns Quintet	Bebop In Britain - In All Directions
Norman Moy	Close Connection
Oliver Nelson	Blues And The Abstract Truth
Oliver Nelson	Swiss Suite
Oliver Nelson And His Orchestra	Fantabulous [Verve Originals]
Ornette Coleman	At The Golden Circle, Vol. 2
Ornette Coleman	Ornette!
Ornette Coleman	Skies Of America
Oscar Peterson	At The Concertgebouw
Oscar Peterson	Compact Jazz - Oscar Peterson
Oscar Peterson	Duke Ellington Songbook
Oscar Peterson	Oscar Peterson Plays Jazz Standards
Oscar Peterson Big 6	At Montreux
Oscar Peterson Trio	Nigerian Marketplace
Oscar Pettiford	Basically Duke
Oscar Pettiford	Oscar Pettiford & All Stars
Oscar Pettiford	Oscar Pettiford & All Stars
Oscar Pettiford	Oscar Pettiford Modern Quartet
Oscar Pettiford	Oscar Pettiford Orchestra In Hifi
Oscar Pettiford	Oscar Pettiford Orchestra In Hifi Vol 2
Oscar Pettiford	The New Oscar Pettiford Sextet
Oscar Pettiford	The Oscar Pettiford Sextet
Otis Spann	Bosses Of The Blues (Vol. 2)
Out Of The Blue (Otb)	Live At Mount Fuji
Parker_Gillespie_Powell_Mingus_Roach	Dizzy Atmosphere (Disc 3)
Pat Crumley Quartet	Waever Of Dreams
Pat Crumly, John Critchison	Ronnie Remembered
Paul Chambers	Bass On Top
Paul Chambers	Chamber'S Music
Paul Chambers	Paul Chambers Quintet
Paul Chambers	We Three
Paul Desmond	Paul Desmond - Easy Living (1963) [Eac-Flac]
Paul Desmond	Paul Desmond - Glad To Be Unhappy (1963) [Eac-Flac]
Paul Desmond	Paul Desmond - Two Of A Mind (1962) [Eac-Flac]
Paul Desmond	The Paul Desmond Quintet - Quartet
Paul Dunmall	Soliloquy
Paul Gonsalves	Boom-Jackie-Boom-Chick
Paul Gonsalves	Humming Bird
Paul Gonsalves & Tubby Hayes	Just Friends
Paul Grabowsky And Bernie Mcgann	Always
Paul Quinichette	Lester Young'S Disciples
Peggy Lee With George Shearing	California Cool. Blue Note West Coast Jazz Sampler
Pepper Adams	10 To 4 At The 5 Spot
Pepper Adams	Complete Live At Jorgie'S 1961
Pepper Adams	Conjuration - Fat Tuesday'S Session
Pepper Adams	Critic'S Choice
Pepper Adams	Pepper
Pepper Adams	Pepper Adams Quintet
Pepper Adams	Pepper-Knepper Quintet
Pepper Adams	Plays Charlie Mingus
Pepper Adams	The Cool Sound Of Pepper Adams
Per Husby	If You Could See Me Now
Pete Christlieb	Warne Marsh _ Conversations With Warne Vol 1
Pete Churchill Trio With Bobby Wellins	The Bad And The Beautiful
Pete Laroca Sims	Swing Time
Peter King	Forever Elvin
Peter King	Hi Fly
Peter King	Live At The Lemon Tree, Aberdeen
Peter King	Peter King Quartet Live - Footprints
Pharoah Sanders	Oh Lord Let Me Do No Wrong
Phil Woods	4 Altos
Phil Woods	A Jazz Life
Phil Woods	Alive And Well In Paris
Phil Woods	American Songbook
Phil Woods	Ballads & Blues
Phil Woods	Bouquet
Phil Woods	Here'S To My Lady
Phil Woods	Musique Du Bois
Phil Woods	Pairing Off
Phil Woods	Phil & Quill With Prestige
Phil Woods	Phil Woods & Tom Harrell - The Jazz Masters
Phil Woods	Phil Woods And His European Rhythm Machine
Phil Woods	Pot Pie
Phil Woods	Quartet-Quintet 20Th Anniversary Set
Phil Woods	Round Trip
Phil Woods	Sugan
Phil Woods	Warm Woods
Phil Woods	Woodlore
Phil Woods And Lew Tabackin	Phil Woods - Lew Tabackin
Philly Joe Jones	Blues For Dracula
Philly Joe Jones	Mo' Joe
Philly Joe Jones	Philly Mignon
Phineas Newborn Jr	Here Is Phineas
Quincy Jones And His Orchestra	The Quintessence
Rahsaan Roland Kirk	A Meeting Of The Times
Rahsaan Roland Kirk	Brotherman In The Fatherland
Rahsaan Roland Kirk	Does Your House Have Lions
Rahsaan Roland Kirk	Dog Years In The Fourth Ring
Rahsaan Roland Kirk	Domino
Rahsaan Roland Kirk	Gifts And Messages
Rahsaan Roland Kirk	I, Eye, Aye
Rahsaan Roland Kirk	Kirk In Copenhagen
Rahsaan Roland Kirk	Kirk'S Work
Rahsaan Roland Kirk	Left & Right
Rahsaan Roland Kirk	Live In Paris, 1970 Vol. 1
Rahsaan Roland Kirk	Live In Paris, 1970 Vol. 2
Rahsaan Roland Kirk	Now Please Don'T You Cry, Beautiful Edith
Rahsaan Roland Kirk	Other Folks Music
Rahsaan Roland Kirk	Prepare Thyself To Deal With A Miracle
Rahsaan Roland Kirk	Rahsaan Rahsann
Rahsaan Roland Kirk	Reeds And Deeds
Rahsaan Roland Kirk	Rip, Rig And Panic
Rahsaan Roland Kirk	The Case Of The 3 Sided Dream In Audio Color
Rahsaan Roland Kirk	The Inflated Tear
Rahsaan Roland Kirk	The Man Who Cried Fire
Rahsaan Roland Kirk	Triple Threat
Ralph Burns	Free Forms
Randy Weston	Jazz Á La Bohemia
Ray Bryant, Arnett Cobb, Alan Dawson, George Duvivier, Buddy Tate, Eddie _Cleanhead_ Vinson	_Live_ At Sandy'S
Red Garland	A Garland Of Red
Red Garland	All Kinds Of Weather
Red Garland	All Mornin' Long
Red Garland	Blues In The Night
Red Garland	Can'T See For Lookin'
Red Garland	Curtis Fuller With Red Garland
Red Garland	Dig It!
Red Garland	Groovy
Red Garland	High Pressure
Red Garland	Moodsville Vol. 1
Red Garland	Red Garland'S
Red Garland	Red In Bluesville
Red Garland	Red'S Good Groove
Red Garland	Solar
Red Garland	Soul Junction
Red Mitchell - Harold Land Quintet	Hear Ye!!!!Hear Ye!!!!
Red Mitchell_Warne Marsh	Big Two Vol. I
Red Norvo And His Selected Sextet	Bebop Spoken Here - Disc 1 (Disorder At The Border)
Red Rodney	Hey, Chood
Red Rodney'S Be-Boppers	Bebop Spoken Here - Disc 2 (Confirmation)
Reeds And Deeds	Wailin'
Reuben Wilson	Blue Mode
Rhythmstick	Rhythmstick
Richie Cole	Rise'S Rose Garden - Cd1
Richie Cole	Rise'S Rose Garden - Cd2
Robert Mazurek	Badlands
Robert Mazurek	Green & Blue
Robert Mazurek Quartet	Main Facing Eastpin'
Roberta Gambarini & Hank Jones	You Are There
Ronnie Scott (Club Xi) Boptet	Bebop In Britain - The Pace Setters
Ronnie Scott Boptet	Bebop In Britain - The Pace Setters
Ronnie Scott Orchestra	Bebop In Britain - The Pace Setters
Ronnie Scott Orchestra	Ronnie Scott Orchestra With Tony Crombie
Ronnie Scott Quartet	Bebop In Britain - The Pace Setters
Roswell Rudd	Flexible Flyer
Roy Eldridge	Little Jazz Disc 1_ Swing Is Here
Roy Eldridge	Little Jazz Disc 2_ The Gasser
Roy Eldridge	Little Jazz Disc 3_ King David In Paris... And Stockholm, Too
Roy Eldridge	Little Jazz Disc 4_ Dale'S Wail
Roy Eldridge	What It'S All About
Roy Eldridge & Budd Johnson	What It'S All About
Roy Hargrove	Approaching Standards
Roy Hargrove	Roy Hargrove - Parker'S Mood (1995) [Eac-Ape]
Roy Haynes Quartet	Out Of The Afternoon
Ryan Quigley	Laphroaig-Ian Sip
Sal Mosca - Warne Marsh Quartet	Sal Mosca - Warne Marsh - Volume 1
Sal Nistico	Sal Nistico Quintets. Heavyweights - Comin' On Up - Terry Gibbs - Sal Nistico Sextet - It'S Time We Met
Sarah Vaughan	Bebop Spoken Here - Disc 1 (Disorder At The Border)
Sauter Finegan Orchestra	Directions In Music
Saxophone Summit	Gathering Of Spirits
Scott Hamilton	From The Beginning
Scott Hamilton	Jazz Signatures
Scott Hamilton	Live In London
Scott Hamilton	Major League
Scott Hamilton	No Bass Hit
Scott Hamilton,Ken Peplowski & Spike Robinson	Groovin' High
Scottish National Jazz Orchestra	American Adventure
Scottish National Jazz Orchestra	Jeune Homme
Serge Chaloff	Bebop Spoken Here_ Tempus Fugit
Serge Chaloff	Blue Serge
Serge Chaloff	California Cool. Blue Note West Coast Jazz Sampler
Sheila Jordan	Body And Soul
Sheila Jordan	Confirmation
Sheila Jordan	Heart Strings
Sheila Jordan	Lost And Found
Sheila Jordan	Portrait Of Sheila
Shelly Manne	At The Black Hawk, Vol. 1
Shelly Manne	At The Black Hawk, Vol. 2
Shelly Manne	At The Black Hawk, Vol. 3
Shelly Manne	At The Black Hawk, Vol. 4
Shihab, Sahib	Converstations
Shorty Rogers	Creative West Coast Swing  Vol - 1
Shorty Rogers	Creative West Coast Swing  Vol - 2
Shorty Rogers	Creative West Coast Swing  Vol - 4
Shorty Rogers	Creative West Coast Swing Vol - 3
Shorty Rogers & Art Pepper	Popo
Shorty Rogers & Bud Shank	Eight Brothers
Shorty Rogers And His Giants	Birth Of The Cool, Vol. 2
Sidney Bechet	Hold Tight
Sir Charles Thompson'S All Stars	Bebop Spoken Here - Disc 2 (Confirmation)
Slide Hampton Quintet	Roots
Slim Gaillard	Slim Gaillard Rides Again
Someone To Watch Over Me	Four Classic Albums 2
Sonny Berman'S Big Eight	Bebop Spoken Here - Disc 2 (Confirmation)
Sonny Clark	Cool Struttin'
Sonny Clark	Dial 'S' For Sonny
Sonny Clark	Sonny Clark Trio
Sonny Clark	Sonny'S Crib
Sonny Clark	Sonny'S Crib
Sonny Clark	Sonny'S Crib
Sonny Criss	An Introduction To Sonny Criss - Young Sonny
Sonny Criss	California Cool. Blue Note West Coast Jazz Sampler
Sonny Criss	Saturday Morning
Sonny Criss	The Complete Imperial Sessions [Disc 1]
Sonny Criss	The Complete Imperial Sessions [Disc 2]
Sonny Criss	The Lost Recordings
Sonny Criss	This Is Criss!
Sonny Red	Red, Blue & Green
Sonny Rollins	A Night At The Village Vanguard
Sonny Rollins	Airegin
Sonny Rollins	Aix En Provence 1959
Sonny Rollins	Alfie
Sonny Rollins	All The Things You Are
Sonny Rollins	Barbican 13 May 2006 - Bootleg
Sonny Rollins	Complete Live At The Village Gate 1962
Sonny Rollins	Don'T Ask
Sonny Rollins	G-Man
Sonny Rollins	Live In London - Vol 1
Sonny Rollins	Live In London - Vol 2
Sonny Rollins	Live In London - Vol 3.1
Sonny Rollins	Live In London - Vol 3.2
Sonny Rollins	Mambo Bounce (1949 - 1951)
Sonny Rollins	Newk'S Time
Sonny Rollins	On The Outside
Sonny Rollins	Paris
Sonny Rollins	Paris 1965 - Copenhagen 1968 Cd1
Sonny Rollins	Paris 1965 - Copenhagen 1968 Cd2
Sonny Rollins	Plus 3
Sonny Rollins	Plus 4
Sonny Rollins	Saxophone Colossus
Sonny Rollins	Sonny Meets Hawk!
Sonny Rollins	Sonny Rollins And The Big Brass
Sonny Rollins	Sonny Rollins And The Contemporary Leaders
Sonny Rollins	Sonny Rollins On Impulse!
Sonny Rollins	Sonny Rollins Quartet At The Village Gate
Sonny Rollins	Sonny Rollins, Don Cherry Quartet- Complete 1963 S
Sonny Rollins	Sonny, Please
Sonny Rollins	Sunny Days, Starry Nights
Sonny Rollins	Tenor Madness
Sonny Rollins	The Bridge
Sonny Rollins	The Solo Album
Sonny Rollins	The Sound Of Sonny
Sonny Rollins	The Standard Sonny Rollins
Sonny Rollins	This Is What I Do
Sonny Rollins	Volume One
Sonny Rollins	Volume Two
Sonny Rollins	What'S New
Sonny Rollins	Without A Song - The 9-11 Concert
Sonny Rollins Quartet	Live In Paris 1963
Sonny Stitt	37 Minutes And 48 Seconds With Sonny Stitt
Sonny Stitt	A Little Bit Of Stitt
Sonny Stitt	Blows The Blues
Sonny Stitt	Classics 1950 - 1951
Sonny Stitt	Featuring Howard Mcghee
Sonny Stitt	Jazz At The Hi-Hat
Sonny Stitt	Jazz At The Hi-Hat
Sonny Stitt	Lester Young'S Disciples
Sonny Stitt	Live At Ronnie Scott'S
Sonny Stitt	Live At The Hi-Hat Volume Two
Sonny Stitt	Moonlight In Vermont
Sonny Stitt	New York Jazz
Sonny Stitt	Only The Blues
Sonny Stitt	Personal Appearance
Sonny Stitt	Prestige First Sessions Vol. 2
Sonny Stitt	Sits In With The Oscar Peterson Trio
Sonny Stitt	Sonny Side Up
Sonny Stitt	Soul People
Sonny Stitt	Stitt In Orbit
Sonny Stitt	Stitt Plays Bird
Sonny Stitt	Stittsville
Sonny Stitt	The Complete Roost Sonny Stitt Studio Sessions
Sonny Stitt	The Complete Roost Sonny Stitt Studio Sessions
Sonny Stitt	The Complete Roost Sonny Stitt Studio Sessions
Sonny Stitt	The Complete Roost Sonny Stitt Studio Sessions
Sonny Stitt	The Complete Roost Sonny Stitt Studio Sessions
Sonny Stitt	The Complete Roost Sonny Stitt Studio Sessions
Sonny Stitt	The Complete Roost Sonny Stitt Studio Sessions
Sonny Stitt	The Complete Roost Sonny Stitt Studio Sessions
Sonny Stitt	The Complete Roost Sonny Stitt Studio Sessions
Sonny Stitt	The Complete Roost Sonny Stitt Studio Sessions
Sonny Stitt	The Complete Roost Sonny Stitt Studio Sessions
Sonny Stitt	The Hard Swing
Sonny Stitt	The Sonny Side Of Stitt
Sonny Stitt & Don Patterson	Brothers-4
Sonny Stitt All Stars	Bebop Spoken Here - Disc 1 (Disorder At The Border)
Sonny Stitt And Richie Cole	Battle Of The Saxes
Sonny Stitt, Bud Poweel, Jj Johnson	Sonny Stitt  Bud Powell  J.J.Johnson
Soweto Kinch	Conversations With The Unseen
Spike Robinson	And George Masso Play Arlen
Spike Robinson	Reminiscin
Splinters	Split The Difference
Stan Getz	At Large Plus!
Stan Getz	At The Shrine
Stan Getz	Award Winner
Stan Getz	Birdland Sessions 1952
Stan Getz	Chamber Music
Stan Getz	Focus
Stan Getz	Imported From Europe
Stan Getz	In Stockholm
Stan Getz	Lester Young'S Disciples
Stan Getz	Live 1952 - Move
Stan Getz	Nobody Else But Me
Stan Getz	Opus De Bop
Stan Getz	Split Kick
Stan Getz	Spring Is Here
Stan Getz	Stan Getz & The Oscar Peterson Trio
Stan Getz	Stan Getz And Bill Evans
Stan Getz	Stan Getz And The Cool Sounds
Stan Getz	Sweet Rain
Stan Getz	The Dolphin
Stan Getz	The Final Concert Recording
Stan Getz	The Roost Quartets
Stan Getz	The Steamer
Stan Getz	West Coast Jazz
Stan Getz - Zoot Sims - Al Cohn - Alan Eager - Brew Moore	The Brothers
Stan Getz And Albert Dailey	Poetry
Stan Getz And Chet Baker	Stan Meets Chet
Stan Getz And Dizzy Gillespie	Jazz Masters 25
Stan Getz And JoãO Gilberto	Getz_Gilberto #2
Stan Getz And Kenny Barron	People Time - The Complete Recordings
Stan Getz And Zoot Sims	Double Exposure
Stan Getz Quartet	Bebop Spoken Here - Disc 2 (Confirmation)
Stan Getz Quartet	Bebop Spoken Here_ Tempus Fugit
Stan Getz, Charlie Byrd	Jazz Samba
Stan Getz, Gerry Mulligan, Oscar Peterson	Jazz Giants '58
Stan Kenton & His Orchestra	Bebop Spoken Here - How High The Moon
Stan Tracey	Free An' One
Stan Tracey	Under Milk Wood
Stan Tracey	With Love From Jazz
Stan Tracey & Danny Moss	Just You, Just Me
Stan Tracey Trio With Peter King	The Last Time I Saw You
Stan Tracy And Bobby Wellins	Comme D'Habitude
Stan Tracy And Bobby Wellins	Tracey - Wellins Play Monk
Stanley Turrentine	A Chip Off The Old Block
Stanley Turrentine	Always Something There
Stanley Turrentine	Dearly Beloved
Stanley Turrentine	Hustlin'
Stanley Turrentine	Jubilee Shout
Stanley Turrentine	Never Let Me Go
Star Dust	Four!
Steps Ahead	Steps Ahead
Sun Ra	Blue Delight
Supersax	The Joy Of Sax!
Tad Shull	Deep Passion
Tad Shull	In The Land Of The Tenor
Tadd Dameron & His Orchestra	Bebop Spoken Here_ Tempus Fugit
Tadd Dameron Sextet	Bebop Spoken Here - Disc 2 (Confirmation)
Tal Farlow	Tal Farlow'S Finest Hour
Ted Brown	Preservation
Ted Curson	The New Thing And The Blue Thing
Teddy Edwards	Mississippi Lad
Teddy Edwards With Les Mccann Ltd	California Cool. Blue Note West Coast Jazz Sampler
Thad Jones - Mel Lewis	Consummation
The All Star Sextet	Bebop In Britain - Limbering Up - The First Sessions
The Bebop Boys	Bebop Spoken Here - Disc 1 (Disorder At The Border)
The Concord All Stars	Take 8
The Dirty Dozen Brass Band	My Feet Can'T Fail Me Now
The Esquire Five	Bebop In Britain - Limbering Up - The First Sessions
The Gil Evans Orchestra	Into The Hot
The Harper Brothers	Remembrance - Live At The Village Vanguard
The Jazz Messengers	The Jazz Messengers At The Cafe Bohemia (Volume 1)
The Little Giant	The Little Giant (Disc 3 Of 4) - Room 608
The Mike Gibbs Orchestra	Big Music
The Mike Hennessy Chastet	Shades Of Chas Burchell
The Modern Jazz Quartet	Scandinavia, April 1960
The Stan Tracey Quartet	Under Milk Wood
Thelonious Monk	Bebop Spoken Here - Disc 2 (Confirmation)
Thelonious Monk	Bebop Spoken Here - How High The Moon
Thelonious Monk	Brilliant Corners
Thelonious Monk	Criss-Cross
Thelonious Monk	Genius Of Modern Music - Volume 2
Thelonious Monk	Genius Of Modern Music, Volume One (1947)
Thelonious Monk	Live At The It Club
Thelonious Monk	Live At The It Club
Thelonious Monk	Live At The It Club
Thelonious Monk	Misterioso
Thelonious Monk	Monk Alone (Disc 1)
Thelonious Monk	Monk Alone (Disc 2)
Thelonious Monk	Monk At Newport 1963
Thelonious Monk	Monk At Newport 1965
Thelonious Monk	Monk In Tokyo (Disc 1)
Thelonious Monk	Monk In Tokyo (Disc 2)
Thelonious Monk	Monk'S Dream -- Remastered
Thelonious Monk	Solo Monk
Thelonious Monk	Straight, No Chaser
Thelonious Monk	The Complete Riverside Recordings
Thelonious Monk	The Complete Riverside Recordings
Thelonious Monk	The Complete Riverside Recordings
Thelonious Monk	The Complete Riverside Recordings
Thelonious Monk	The Complete Riverside Recordings
Thelonious Monk	The Complete Riverside Recordings
Thelonious Monk	The Complete Riverside Recordings
Thelonious Monk	The Complete Riverside Recordings
Thelonious Monk	The Complete Riverside Recordings
Thelonious Monk	The Complete Riverside Recordings
Thelonious Monk	The Complete Riverside Recordings
Thelonious Monk	The Complete Riverside Recordings
Thelonious Monk	The Complete Riverside Recordings
Thelonious Monk	The Complete Riverside Recordings
Thelonious Monk	The Complete Riverside Recordings
Thelonious Monk	The Complete Riverside Recordings
Thelonious Monk	The Nonet-Live!
Thelonious Monk	Thelonious Himself
Thelonious Monk	Thelonious Monk
Thelonious Monk	Thelonious Monk Quartet With John Coltrane At Carnegie Hall
Thelonious Monk	Thelonious Monk The Complete Prestige Recordings(3Cd)(Jazz)(Mp3@320)[Rogercc][H33T]
Thelonious Monk	Thelonious Monk The Complete Prestige Recordings(3Cd)(Jazz)(Mp3@320)[Rogercc][H33T]
Thelonious Monk	Thelonious Monk The Complete Prestige Recordings(3Cd)(Jazz)(Mp3@320)[Rogercc][H33T]
Thelonious Monk	Thelonious Monk The Complete Prestige Recordings(3Cd)(Jazz)(Mp3@320)[Rogercc][H33T]
Thelonious Monk	Thelonious Monk _ Sonny Rollins
Thelonious Monk	Thelonius Monk The Complete Riverside Recordings
Thelonious Monk	Thelonius Monk The Complete Riverside Recordings
Thelonious Monk	Thelonius Monk The Complete Riverside Recordings
Thelonious Monk	Thelonius Monk The Complete Riverside Recordings
Thelonious Monk	Thelonius Monk The Complete Riverside Recordings
Thelonious Monk	Thelonius Monk The Complete Riverside Recordings
Thelonious Monk	Thelonius Monk The Complete Riverside Recordings
Thelonious Monk	Thelonius Monk The Complete Riverside Recordings
Thelonious Monk	Thelonius Monk The Complete Riverside Recordings
Thelonious Monk	Thelonius Monk The Complete Riverside Recordings
Thelonious Monk	Thelonius Monk The Complete Riverside Recordings
Thelonious Monk	Thelonius Monk The Complete Riverside Recordings
Thelonious Monk	Thelonius Monk The Complete Riverside Recordings
Thelonious Monk	Thelonius Monk The Complete Riverside Recordings
Thelonious Monk	Thelonius Monk The Complete Riverside Recordings
Thelonious Monk	Thelonius Monk The Complete Riverside Recordings
Thelonious Monk	Underground
Thelonious Monk & Max Roach	European Tour
There Will Never Be Another You (Warren-Gordon)	Anita O'Day - Four Classic Albums Cd2
Tina Brooks	True Blue
Tina May	Live In Paris
Tina May	Time Will Tell
Tiny Grimes Quintet	Bebop Spoken Here - Disc 1 (Disorder At The Border)
Tito Burns And His Sextet	Bebop In Britain - In All Directions
Tito Rodriguez	Live At Birdland
Tom Macniven	Guess What
Tommy Smith	Azure
Tommy Smith	Standards
Tommy Whittle	Grace Notes
Tony Coe And The Lansdowne String Quartet	Tony'S Basement
Tony Coe Quintet	Swingin' Til The Girls Come Home
Tony Crombie	Jazz Inc_ Swinging Music In The Modern Manner
Tony Crombie	Whole Lotta Tony
Tony Fruscella	Tony Fruscella Complete Studio Recordings Cd 2
Tony Fruscella & Brew Moore	The 1954 Unissued Atlantic Session
Tony Fruscella Quintet	Bebop Spoken Here_ Tempus Fugit
Tony Kofi	Tony Kofi Quartet Plays Monk
Tony Scott	52Nd Street Scene
Tony Scott	A Jazz Life
Tony Scott	At Last
Tony Scott	Jazztime Use Vol 2
Tony Scott	Music For Zen Meditation
Tony Scott	Newport 1958
Tony Scott	The Old Lion Roars
Tony Scott	The Touch Of Tony Scott
Tony Scott	Tony Scott
Tony Scott	Tony Scott In Hifi
Tony Scott And  Horst Jankowski Trio	In Concert
Tubby Hayes	A Tribute To Tubbs
Tubby Hayes	Addictive Tendencies (Disk 1)
Tubby Hayes	Addictive Tendencies (Disk 2)
Tubby Hayes	In Scandinavia
Tubby Hayes	Inventivity - Cd 1
Tubby Hayes	Inventivity - Cd2
Tubby Hayes	Jazz Genius - The Flamingo Years
Tubby Hayes	Jazz Genius - The Flamingo Years
Tubby Hayes	Jazz Genius - The Flamingo Years
Tubby Hayes	Jazz Genius - The Flamingo Years
Tubby Hayes	Late Spot At Scott´S
Tubby Hayes	Live At The Dancing Slipper - Vol 1
Tubby Hayes	Live At The Dancing Slipper - Vol 2
Tubby Hayes	Live At The Hopbine
Tubby Hayes	Mexican Green
Tubby Hayes	Night And Day
Tubby Hayes	Return Visit
Tubby Hayes	Split Kick - Live In Sweden 1972
Tubby Hayes	Symphony - The Lost Session
Tubby Hayes	The Little Giant (Disc 1 Of 4) - Too Marvellous For Words
Tubby Hayes	The Little Giant (Disc 2 Of 4) - Peace Pipe
Tubby Hayes	The Little Giant (Disc 3 Of 4) - Room 608
Tubby Hayes	The Little Giant (Disc 4 Of 4) - Message To The Messengers
Tubby Hayes	Tubbs
Tubby Hayes	Tubby'S Groove
Tubby Hayes And Paul Gonsalves	Change Of Setting
