Artist 	 Album
Bobby Wellins	Nomad
Bobby Wellins	Radio Sessions Vol 1
Bobby Wellins	Radio Sessions Vol 2
Bobby Wellins	Satin Album
Bobby Wellins	Snapshot
Bobby Wellins	The Best Is Yet To Come
Bobby Wellins	When The Sun Comes Out
Bobby Wellins - Stan Tracey	New Departures Quartet
Bobby Wellins; Claire Martin	606 Charity Concert
Booker Ervin	Booker 'N' Brass
Booker Ervin	Sounds Of The Inner City
Booker Ervin	Structurally Sound
Booker Ervin	That'S It
Booker Ervin	The Blues Book
Booker Ervin	The Book Cooks
Booker Ervin	The Song Book
Booker Ervin	The Space Book
Boyd Raeburn & Orchestra	Bebop Spoken Here - Disc 1 (Disorder At The Border)
Brad Mehldau	Introducing Brad Mehldau
Brandnew World	Lover Man
Branford Marsalis	Eternal
Branford Marsalis	Footsteps Of Our Fathers
Branford Marsalis	The Beautyful Ones Are Not Yet Born
Branford Marsalis Quartet With Kurt Elling	Upward Spiral
Brew Moore	Bebop Spoken Here - How High The Moon
Brew Moore	Lester Young'S Disciples
Brew Moore	Svinget 14
Brew Moore	The Kerouac Connection (Disc 1)
Brew Moore	The Kerouac Connection (Disc 2)
Brew Moore	Zonky
Brian Kellock	Live  At Henry'S
Buck Clayton	Buck Clayton Meets Joe Turner
Bud Powell	Autumn Sessions
Bud Powell	Bebop Spoken Here_ Tempus Fugit
Bud Powell	Bud Powell In Paris
Bud Powell	Salt Peanuts
Bud Powell	The Complete Blue Note And Roost Recordings Disc 1
Bud Powell Trio	Bebop Spoken Here - Disc 2 (Confirmation)
Bud Powell'S Modernists	Bebop Spoken Here_ Tempus Fugit
Bud Shank	California Cool. Blue Note West Coast Jazz Sampler
Bud Shank	I'Ll Take Romance
Bud Shank	Plays Tenor
Bud Shank	Quartet, Feat. Claude Williamson
Bud Shank	The Pacific Jazz Bud Shank Studio Sessions (1956-61)
Bud Shank	The Pacific Jazz Bud Shank Studio Sessions (1956-61)
Bud Shank	The Pacific Jazz Bud Shank Studio Sessions (1956-61)
Bud Shank	The Pacific Jazz Bud Shank Studio Sessions (1956-61)
Bud Shank	The Pacific Jazz Bud Shank Studio Sessions (1956-61)
Bud Shank	The Pacific Jazz Bud Shank Studio Sessions (1956-61)
Bud Shank	The Pacific Jazz Bud Shank Studio Sessions (1956-61)
Bud Shank	The Swing'S To Tv
Bud Shank	This Bud'S For You
Budd Johnson	Lester Young'S Disciples
Buddy Featherstonehaugh	Buddy Featherstonhaugh
Buddy Featherstonehaugh	Buddy Featherstonhaugh'S New Quintet
Buddy Rich	Keep The Customer Satisfied
Buddy Rich	Lionel Hampton Presents Buddy Rich
Buddy Rich	Mercy, Mercy
Buddy Rich	No Funny Hats
Buddy Rich	The Roar Of '74
Buddy Rich	This One'S For Basie
Buddy Tate & Al Grey	Just Jazz
Buddy Tate; Humphrey Lyttelton	Swinging Scorpio
Cannonball Adderley	At The Lighthouse
Cannonball Adderley	Cannonball Takes Charge
Cannonball Adderley	In New York
Cannonball Adderley	Jazz At The Philharmonic
Cannonball Adderley	Jazz Workshop Revisited
Cannonball Adderley	Know What I Mean
Cannonball Adderley	Mercy, Mercy, Mercy! Live At 'The Club'
Cannonball Adderley	Radio Nights
Cannonball Adderley	Salle Pleyel 1960 & Olympia 1961
Cannonball Adderley	Salle Pleyel 1969
